Description,Title,URL,Compensation,Address,Employment Type
"Temp to perm Salary 45 to 60k per year 

Location Long Island
Xactimate Specialist 

Typical Duties include:  
Use Xactimate to modify and estimate applicants files.   
Carry out QA on of applicant's scope estimates to assure accuracy and conformance with Program policies.  
Enter, audit, report and maintain information in GOSR provided construction management software such as LiRo Recovery Manager, Primavera Contract Manager and or other software system. 
Support construction management team in development of, tracking of and quality assurance of work orders, estimates at completion and other construction documents",Xactimate Specialist,https://newyork.craigslist.org/brk/egr/6104366621.html,45-60k,Long Island,full-time
"Wanted:  Versatile junior architect interested in learning by helping us with a wild variety of projects from state of the art green building to state of the art historic preservation. You will get out to job sites, meet clients and be introduced to building science.  Interest in landscape and urban planning also welcome. Knowledge of, or urge to learn, Revit is a plus. Join a busy 14 person metro New York studio. Email resume, work samples and salary requirements using the ""reply"" button above. No phone calls please.",Junior Architect,https://newyork.craigslist.org/wch/egr/6105227999.html,To be negotiated,Dobbs Ferry,full-time
"Innovative and developing architectural design firm is seeking both Senior and Junior architects experienced in commercial and residential projects through design phases. The designer/drafter will work in collaboration with our project management team and be able to develop accurate and detailed drawings as per the project architect's request.

Junior and Senior architects/drafters must have following qualifications:
•Academic degree in architecture
•Minimum of 4 years' experience for Junior and 8 years' minimum for Senior architects 
•Proficient in AutoCAD, REVIT and *SKETCH-UP*
•Comprehensive graphic skills and understanding of all aspects of a project from schematic phase to completion
•Capable of multi-tasking and working in a timely-manner environment and is dependable to meet deadlines
•Highly organized, self-motivated and detail and design oriented.

Marin Architects offers competitive compensation and benefit package.

Qualified candidates should submit a resume and portfolio in PDF format.

Required experience:
•Revit: 2 years",Architectural Firm Seeking Jr. & Sr. Architects,https://newyork.craigslist.org/mnh/egr/6106625428.html,TBD,Midtown West,full-time
"A growing General Contractor Company Residential/Commercial located in Brooklyn is in search of an energetic and ambitious Construction Administrative assistant to help keep up with the growing demand of work.

Interested applicants should send a cover letter, stating salary expectations, and resume.

Responsibilities:
Answer and direct incoming calls in a professional and welcoming manner
Answering Emails
Transcribing proposals and contracts
Handling all contracts for new projects 
Support Project Manager with the day to day project management operations of the projects
Review design documents, change orders, punch list, payment requisitions and contracts 
Keep Management and the client informed as to the ongoing process and any setbacks that come along
Placing and following material orders
Setting up appointments
Dealing with customers 
Efficient change order management and cost control 
Make work schedule 
Maintain Contact Lists by entering and verifying customer information 
Request pricing from Sub-contractors 
Obtaining and tracking Building Permits
Making sure we have Certificates of Insurance for all Subcontractors 
Coordinating multiple projects simultaneously with Clients, Subcontractors, Architects and Supervisors.



Qualifications:
Degree in Architecture or Construction Management is preferred 
Strong written and verbal communications
Strong attention to detail
Exceptional customer service skills
Effectively prioritize duties
Must be experienced with MS Word and Excel
Ability to read and understand construction documents and project specifications, the ability to multi-task and meet deadlines in a fast-paced environment
Knowledge of construction desired but willingness to learn the construction business is a must. . .

Required language: English and Spanish 

Hours of work are 8:00am - 4:30 pm from Monday - Friday.",Construction Administrative Assistant,https://newyork.craigslist.org/brk/egr/6106690570.html,Salary commensurate with experience,Brookly,full-time
"An award-winning, International A+ Design firm, is seeking a talented and motivated Intermediate and Senior designer to join their dynamic project team. The right candidate will be comfortable working in all phases of design within the Lifestyle | Hospitality | Creative Workplace Sectors. Innovative design skills and a minimum of 3 years of post-graduate US /Internation experience are required for this role. An accredited interior / architectural degree and proficiency with AutoCAD, Adobe Creative Suite, and Sketchup is required; Revit is preferred. You will be involved from initial concept through design development and also be willing to roll up your sleeves and produce information when required. You will be responsible for communicating and coordinating effectively with consultants, clients, and contractors. The desire and ability to work in a creative and rigorous environment is essential.",Innovative Interior Designers ,https://newyork.craigslist.org/mnh/egr/6106808637.html,"$50,000 - $100,000",New York,full-time
"John Petrocelli Construction is seeking a project supervisor for high end residential and commercial renovations in Manhattan. 

An ideal candidate for this position is a self-driven leader with strong communication, organizational, and time management skills,  who pays attention to detail, demonstrates integrity, and desires to be part of a growing team

The Project Superintendent responsibilities include but are not limited to; 

Must demonstrate superior understanding of site logistics, site safety and construction operations.
Be proficient in at least one trade, e.g. carpentry, masonry, electrical and and a full understanding of the procedures of all trades.
Create and maintain positive relationships with customers, suppliers, vendors and subcontractors
Ensure subcontractors are aware of work ethics, best practices, quality standards, and company policies.
Ensure outstanding project safety, subcontractor performance, on-time scheduling, specification conformance and quality control
Ensure work is being performed in a quality & timely manner
Formulate and provide a schedule to subcontractors every 2 weeks
Review the project daily to insure all activities are being performed within regulations
Procure materials and equipment and ensure appropriate inventory of both
Provide workers with information on how a project needs to be completed
Verify that each subcontractor has successfully completed the project handed to him
Ensure appropriate care and maintenance of construction tools and equipment
Complete daily reports and maintain logs
 Enforce OSHA safety standards

Requirement

●	5+ years experience in high end residential renovations or related construction management
●	The ability to commute to job site locations",Construction Job Supervisor Position,https://newyork.craigslist.org/mnh/egr/6106795251.html,commensurate with experience,Manhattan,full-time
"An Interior Finish and FF+E supply company is looking for a qualified and experienced candidate to manage projects throughout the stages of material sourcing, procurement, design consultation, and material installation. This position will serve as the main liaison between our clients and the factories and vendors we work with. Our typical projects include hotels, high rise residential towers, and apartments complexes. We work with developers and architects to source high quality and unique finishes from global sources.

The Procurement Project Manager will be responsible for

Pricing quotes from vendors.
Specification review for accuracy.
Vendor payment term negotiations.
Expedite orders and enter production / shipping updates.
Freight quotes.
Establish and promote positive supplier relationships. Meet with and vet new suppliers.
Purchasing expertise.
Knowledge of commercial furniture, floor coverings, interior design finishes
Understanding of interior design standards.
Work with designers/developers/architects and project managers for FF&E specifications
Ordering of all materials and FF&E
Processing of purchase orders, revisions, request and review acknowledgements / invoices for accuracy and approval for payment.
Analyze and negotiate bids with vendors to present the most advantageous pricing, logistics and service.
Work with controller to establish favorable credit terms with new manufactures.
Oversee and coordinates purchasing matters with other departments, including senior management and ownership.
Provides Purchasing expertise.
Obtain fire rating certification, warranties and other product information.
Troubleshoot and provide solutions with suppliers regarding orders through installation.
Coordinate logistics for receipt of goods within scheduled deadlines.
Performs other duties as assigned.

KNOWLEDGE, SKILLS AND ABILITIES REQUIRED:
Applying comprehensive purchasing principles and practices.
Develops and improves internal business processes and procedures.
Responsible for optimizing purchasing activities and developing positive business relationships with vendors.
Proven negotiation and time management skills.
Excellent relationship building skills.
Excellent analytical skills with high attention to detail.
Strong computer skills.
Proven history of successful goal setting, achievement, and employee growth management.
Procurement management.
Provide weekly update to Director of Operations pertaining to project functions
Proficiency in Procore software - a PLUS

EDUCATION AND OR EXPERIENCE:
Education Requirements: Associates Degree or Higher Preferred.
Computer Skills Requirements: MS Office Applications, Autocad preferred. 
Experience: Minimum of 2 years of experience in interior design, architecture, or a purchasing role
Job Type: Full-time",Procurement Project Manager with Interior Design background needed,https://newyork.craigslist.org/mnh/egr/6106861040.html,Per Experience,Midtown East,full-time
"A highly creative and holistic Design firm is looking to bring on a Design Director, heavily talented in the hospitality sector. The ideal candidate for this role will have 10-15 years of experience, and possess the following qualifications: 
- Must be NCIDQ Certified and have a degree in Interior Design, Architecture or the equivalent.
- Must be able to lead multiple projects from beginning to end, mentoring younger designers and connecting with potential new business.
- Must be familiar with handling budgets, building teams, collecting new business, leading presentations and working directly with the Partners of the firm to keep with the brand language through built design. 
- Must be comfortable leading large presentations to high profile clients.
- MUST be fluent in: AutoCAD, Adobe Creative Suite, and have great hand sketching abilities. 
- Must be proficient in creating/writing specs for sourced materials AND custom furniture/lighting. 
-Must be familiar with the hospitality industry including restaurants, hotels and leisure both locally and abroad.
-Must be comfortable juggling multiple projects at once in different stages and at various size scales.
The right person for this role is someone who has built a successful career in the hospitality design sector, but is now looking to direct teams and not only be a creative lead, but will also be a key factor in business direction and managerial decisions. This is an exciting role for a well-rounded designer and is excited about the complexities of the hospitality design process.",Design Director ,https://newyork.craigslist.org/mnh/egr/6106813804.html,"$90,000 - $120,000",New York,full-time
"Well-established Brooklyn company looking for an experienced AutoCAD Operator for jobs in the NYC Metro area. Company is located in Greenpoint, Brooklyn.  This constantly busy business is looking to fill the position immediately.

Needs to have knowledge of Mechanical Drawings. Benefits included.  

Please email resume to aletaind@aol.com. Give a little of personal and contact info.  This is a full time position",AutoCAD Operator,https://newyork.craigslist.org/brk/egr/6106983911.html,DOE,"Greenpoint, Brooklyn",full-time
"NYC - MECHANICAL CONTRACTOR IS LOOKING FOR A MECHANICAL  ESTIMATOR. (FLEXABLE DAYS AND HOURS)

COMPUTER LITERATE

EXPERIENCE IN  ESTIMATING  FROM PLANS AND SPECS, FOR PUBLIC WORKS PROJECTS (DDC,DASNY, NYCHA, ETC.)

DETAILED ORIENTED  

KNOWLEDGE OF THE R.S. MEANS BOOK HELPFUL.

MECHANICL ENGINEER DEGREE HELPFUL BUT NOT REQUIRED",MECHANICAL ESTIMATOR - (PART TIME/FULLTIME),https://newyork.craigslist.org/mnh/egr/6107004475.html,DEPENDING ON EXPERIENCE,,part-time
"Contractor seeking Junior Estimator/Quantity Surveyor
Young Graduate Welcome. We will train you for the job!
Must have experience in:
*Read Architectural Drawings
*Review /Comment Job Specification
*Monitor Project Cost and Schedule
* Assist in preparing purchase orders
* Experience with material take-offs, estimating A+
*Use of AutoCad,Revit ,Rihno A+
Excellent Growth Opportunity
Holidays and Vacation Paid.",JR Estimator/Quantity Surveyor,https://newyork.craigslist.org/mnh/egr/6107020421.html,Excellent Pay,,full-time
"Modernus is an architectural product company, specializing in the design and installation of office glass partitions in the US and abroad.

We are a dynamic and young company based in San Francisco, with offices in New York. 
We work with most of the major architectural companies nationwide and develop our own product lines in house.

We are looking for a technical designer with some experience in the architectural product market, preferably in the wall partition market segment.
You must be able to read and understand blue prints and generate shop drawings, familiar with aluminum profile construction and glass assemblies - door product experience would be a plus.

You must have experience working in and surveying (measuring) job sites. You will need to interact with installation crews in the field on technical matters. You will have to problem solve, update the project manager and comunicate with the purchasing manager and/or vendor if need it. You must posses clear and precise communication skills. You love to work, have fun and make connections. You thrive on pushing the envelope in satisfying a client.

You are a CAD and 3D design expert. You know how to present professionally new ideas and solutions.You can help our marketing department clarify concepts for our clients. You can anticipate a problem by looking at a drawing and find a solution with our technical department. You can produce shop drawings with ease.

The job is based in NYC but the person needs to be available to travel to different job sites around the country, possibly internationally.

We are looking for a person who wants to be part of a team of dedicated professionals, ready to be working on the next big thing. We are a fun, hard working team. We are industrial designers, nuts for cool products. We work with the biggest talent pool of designers and architects nationwide.

We offer a flexible work schedule, driven by project requirements. Telecommuting will be possible after an initial break-in period. Bachelor degree and 5 year experience are a must.",Technical Designer Architectural Products / CAD,https://newyork.craigslist.org/mnh/egr/6107044264.html,To be determined based on experience,,full-time
"Company Overview:

We are a full-service site civil and paving General Contractor. 
We Operate in the New York City Metropolitan area.
 
Superintendent Job Responsibilities:

Superintendent is responsible for the supervision, organization and planning of the physical completion of the field work and the field staff associated with the projects.

Skills required:

Daily Safety management
Provide leadership to field staff
Schedule development and management
Project set up
Staff projects according to work load
Confirm daily project progress/clean- up of sites
Ensure work is being performed per plans and specs
Review project packets for upcoming projects
Good Communication with staff and office
Oversee all staff to ensure delivery tickets/ truck tickets are accurate
Work attendance is crucial for this position

Experience:

Minimum 5 years Supervisory Experience
Experience working with government agencies.
Extensive knowledge of construction operations

Job Type: Full-time

Salary\Benifits: Competitive Industry Standard",Site Work Superintendent,https://newyork.craigslist.org/mnh/egr/6107099635.html,Competitive Industry Standard,Manhattan,full-time
"Looking for a Jack of all trades engineer with a minimum of 5-8 years experience to assist an architectural office in house on our projects. 

We work on a number of project types, multifamily residential, commercial fit out, industrial, and more and are looking for PE who is looking for a more dynamic work environment. We have a lot to keep you busy and would enjoy having you on the team. Work directly with the Design team for innovative solutions. 

You will be required to work independently within the team, as designer and draftsman for electrical, mechanical, plumbing and fire protection systems. Experience with low voltage systems would be helpful as well. 

Experience in Revit or other 3d modeling software a plus. 

Please email us with resume and a history of project your have worked on, and we can set up a time for you to come in and talk about how you might play a role in our office.

Our office is near Journal square in Jersey City NJ. A great work environment, vacation time. and health & dental plan are part of the compensation.",MEP Engineer Wanted,https://newyork.craigslist.org/jsy/egr/6107156150.html,Based on Experience,Journal Square Jersey City NJ,full-time
"Seeking experienced drafters, proficient in Auto CAD, Revit, to create drawings for Department of Building filings, Construction and interior design plans

 Applicants should be able to create a clean, clear, set of plans sections and details and have a good understanding to construction methods & necessary plans and basic knowledge in interior layouts and design.

 As a plus:
 Being familiar with NYC Code and Zoning rules,
 Able to create 3D drawings,

 Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. We are willing to train.

 This offer is for full time only

 Please submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format.",Architect / Drafter,https://newyork.craigslist.org/brk/egr/6107341282.html,Based on qualifications,,full-time
"Tristate Plumbing Services is looking for a Plumbing Estimator. We are looking for someone who can provide and coordinate estimating services on various types of projects all plumbing related. An Estimator shall have a detailed understanding of plumbing construction costs and how it relates to the other trades. Estimators shall be able to handle multiple projects and meet proposal deadlines on time. 

Summary of essential job functions

•	Prepare quantity take-off's with On Screen Takeoff 
•	Understand the difference between union and non-union projects
•	Enter project metrics and financial data 
•	Review proposal specifications and drawings, attend pre-bid/design meetings, determine scope of work, determine required proposal/bid deliverables, ascertain potential risks, follow-up for in-house operations plans
•	Prepare discipline, schematic, and final estimates
•	Establish and maintain relations with current clients and subcontractors.
•	Perform additional assignments per supervisor's direction
•	Generate detailed quantity takeoff using OST/Oasis
•	Generate RFIs as needed
•	Formulate pricing using labor production and material price
•	Prepare and review bids with company president and follow up with GC
•	Track bids and other data
•	Communicate with field personal and suppliers as needed
Requirements:
•	3 years estimating experience
•	Proficient in OST/Oasis takeoff software or similar software
•	Strong working knowledge of Excel 
•	Ability to read blueprints
•	Excellent communication and relationship building skills
•	Attention to detail
•	Detail oriented
•	Team player",Plumbing Estimator,https://newyork.craigslist.org/mnh/egr/6107187021.html,"60,000",Midtown West,full-time
"Architectural firm in Manhattan is looking to fill a Junior Architect position. 

Job Description
•	experience in producing construction documents
•	experience in High End Residential and Commercial Design
•	strong skills in architectural detailing. 
•	strong verbal and written communication skills
•	proficiency in AutoCad, Adobe Acrobat, and MS Word.
•	experience working with an Expeditor is a plus
•	knowledge of New York DOB filing process is a plus
•	knowledge of Co-op submission process is a plus
•	construction administration experience is a plus
•	ability to research building code requirements and coordinate with code/permit consultants is a plus
•	MUST submit work samples along with your resume and cover letter to be considered

Job Requirements
Candidate must have a degree in Architecture (B. Arch or M. Arch) as well as experience working in an architectural firm. The candidate should be organized, experienced at working on multiple projects at once, and self-motivated. Candidate must have experience in construction document preparation and field observation. 

About Our Company
Archetype is a full-service architecture and interior design firm based in the Upper West Side of New York City.",Junior Architect,https://newyork.craigslist.org/mnh/egr/6107383624.html,Based on experience,Upper West Side,full-time
"Busy Architectural firm seeking an Intermediate CAD Draftsperson with project mgmt duties for new mid-rise Residential/Commercial base buildings, alterations and Interior Renovation projects. 

The  individual will work directly with the Principal Architect to manage and administer each phase of the project, and coordinate incoming and outgoing information on a day-to day basis. 

Qualifications:
-Multi-tasker - capability to manage multiple projects simultaneously
-Knowledge in Construction Details
-Ability to efficiently manage project hours
-Knowledge of NYC Building Codes, NYC Zoning Ordinances
-Full engagement of projects
-Knowledge of NYC Zoning Resolution, NYC Building Codes, ADA Regulations
-Able to work under pressure to meet deadlines
-Primarily an office-based position but some travel required for project meeting and other related duties
-Proficient drafting skills using AutoCAD, including layer management
-3D & Computer Rendering skills is a +.
-Minimum 3 years of construction technical work experience 


Ideal candidates are those looking for growth through long-term employment and must be able to work overtime when required. Firm offers health benefits and 401K participation opportunity.  PLEASE ANSWER ONLY IF YOU LIVE IN THE AREA (NYC) & CAN WORK LEGALLY IN THE U.S.

Email cover letter  and resume [in pdf format] with desired compensation to us with confidence. Any other format will not be viewed.  Please indicate CAD under subject line on email.",Architect CAD with Project Management duties,https://newyork.craigslist.org/que/egr/6107892277.html,Base on experience,Maspeth,full-time
"PRODUCTION ASSISTANT NEEDED
We are a 40-year-old and established company that is growing quickly. We manage, design, fabricate and install signage projects for some of the largest and most high-end construction jobs in NYC.
 
The Production Department manages the following:
·         Art Department
·         Engineering Department
·         Waterjet and Laser Cutting
·         CNC Machining
·         Metal and Plastic Forming and Fabricating
·         Vinyl plotting
·         Digital printing
·         Screen printing
·         Engraving
·         Etching
·         Painting
·         Installation

 
Duties
·         Assisting Production Manager in managing relevant departments
·         Assigning work to staff in design, manufacturing installation and subcontractors
·         Work includes interpreting shop drawings
·         Scheduling factory in conjunction with production team Daily
·         Purchasing
·         Communicating to clients and vendors

 
Relevant Skills:
·         Minimum Qualifications: Degree in Engineering, Industrial Design, Architecture or 5 years in Relevant Industry Experience
·         Technical knowledge
·         Excellent communication skills
·         Strong math ability
·         Ability to manage and work with people
·         Ability to establish priorities and work with the team
·         Organized
·         Hard working
·         Exceptional problem-solving abilities
·         Energetic
·         Detail oriented

 
Having a license is a plus
 
If interested, please contact recruit@signsanddecal.com with your resume and salary requirements.",PRODUCTION / PROJECT ASSISTANTS NEEDED FOR ARCHITECTURAL FABRICATOR,https://newyork.craigslist.org/brk/egr/6107101615.html,TBD,"Williamsburg, Brooklyn",full-time
"Electrical Engineer -- Project Manager 
NY/Westchester based electrical engineering company seeks engineer for power distribution/ system integration projects.

Manage switchgear/power distribution projects for commercial construction projects
Development of electrical power and control system design, system start-up and support, work with clients, engineers and vendors.

Requirements:

Mechanical aptitude
Excellent communication and organizational skills
Strong computer skills and leadership skills
Team player/self-starter
Strong interpersonal skills
Positive attitude and high level of commitment to exceptional customer service
AutoCAD experience a plus
Requires BS degree in electrical engineering or proven related experience
Will provide all training",Electrical Engineer,https://newyork.craigslist.org/wch/egr/6108005159.html,based on experience,NY/Westchester,full-time
"RAND Engineering & Architecture, DPC, a fast-growing 85-person Midtown firm, is seeking an architect (RA a plus) to manage large, multifaceted projects (exterior/interior, M/E/P, structural) for residential and commercial buildings. The person will review plans, coordinate tasks and schedules among teams, and interact with clients, RAND staff, and contractors. Strong design, project planning, attention to detail and communication skills are essential.

Rand offers a comprehensive benefits package that features health and dental coverage, a vision plan, a 401(k) retirement plan with company match, long-term disability, life insurance, and educational opportunities.

Applicants should send resumes and salary requirements to hr@randpc.com or by fax to (212) 691-7972. Please reference ad APM-0707. www.randpc.com",Architect/Project Manager,https://newyork.craigslist.org/mnh/egr/6108085523.html,Salary,,full-time
"RAND Engineering & Architecture, DPC, a 85-person Midtown firm named one of Crain's ""Best Places to Work in NYC"" five times and one of Inc.'s 5,000 Fastest Growing Firms, is seeking a bright and enthusiastic graduate for interior design projects at residential and commercial buildings. Solid knowledge of New York City Building Code and ADA provisions required. Strong building design, project planning, attention to detail, and verbal and written communication skills are also essential. A Bachelor's degree in architecture is required. This is a career-oriented position with excellent growth potential and provides experience towards an RA license.

RAND offers a comprehensive benefits package that features a profit sharing plan, health and dental coverage, a vision plan, a 401(k) retirement plan with company match, long-term disability, life insurance, educational opportunities, recreational room, exercise facility, personal training, and on-site yoga. Applicants should send cover letter, resume, and salary requirements to hr@randpc.com. Please reference ad ARCH. www.randpc.com",Architectural Team Associate,https://newyork.craigslist.org/mnh/egr/6108089049.html,Salary,,full-time
"We are a burgeoning boutique high-end architecture firm looking for a CAD Technician or Architectural Designer to work on a contract basis with the intention of leading to full-time employment.  The work is primarily high-end residential and multi-family projects. Proficiency with AutoCAD Architecture is critical and Sketchup is desired. The ability to take a project from schematic design to complete construction drawings with a good eye for design is essential.  Please respond with a resume, project examples, and why you are the ideal candidate for this position.

Please no recruiters or CAD companies.",CAD Technician / Architect,https://newyork.craigslist.org/fct/egr/6108146724.html,To Be Determined,,contract
"Seeking a freelance designer to assist with producing VM guidelines for a multi-billion dollar brand in the luxury retail industry. Candidate will partner in the design development of global merchandising displays as well as store design. Must have strong software proficiency using Adobe Creative Suite programs ( Illustrator, Photoshop, InDesign).  3D skill is a big plus.  Must have a design background (Graphic Design, Industrial Design, Interior Design, Architecture, etc) and prefer experience within the high-end beauty/cosmetic industry.  Start right away.  Qualified candidates should respond with a copy of their resume and portfolio samples.",Visual Merchandising Designer - Freelance - START RIGHT AWAY,https://newyork.craigslist.org/mnh/egr/6108211770.html,Hourly rate is flexible and commensurate to experience level.,Midtown,full-time
"EOC‐NY is a multifaceted, full‐service engineering and consulting firm providing structural,
architectural, and geotechnical services for an array of restoration and new construction
applications. We are always looking for diverse, passionate, and talented individuals. We believe
that an open and transparent office environment facilitates ingenuity and progress. New ideas are
always welcomed.

At present, we are seeking a full time structural engineer to take on variety of tasks including
developing calculation reports, drawings, & specifications, as well as performing field inspections.
The position offers benefits, bonus incentive and overtime rate for working over 40 hr.'s a week.

Qualifications:
 MS in civil with emphasis in structural, and/or geotech ‐ graduating in May 2017
 Strong command of fundamental structural engineering principles
 Excellent written and verbal communication skills
 Excellent interpersonal and problem‐solving skills
 Knowledge of current design codes and standards
 Ability to work successfully in a collaborative team oriented environment
 Proficient in MS office and standard drafting softwares (Revit/AutoCAD)
 Finite element analysis experience is required
 A min of 1 year of previous internships and/or work experience w/ FE certification is required

Hours & Location:
40 hr.'s /week @ 1811 Stillwell Ave Suite 4, Brooklyn, NY 11223",Seeking a full time structural engineer:,https://newyork.craigslist.org/mnh/egr/6108297998.html,Based on expereince,BROOKLYN,full-time
"seeking a CLASS 2 DOB expediter for a FULL TIME position. 

The position requires you to visit the borough offices of NYC Dept of Buildings for permits, filings, and plan exams. You must come to the office every morning to pick up work. Must come back to the office in afternoon after you are done.

Qualifications
- Must know how to filing jobs, read plans, and attend DOB plan exams
- Must know how to do basic paperwork
- Good English skills so you can communicate with clients.
- Class 2 preferred.

This is a full time job from 8:30AM until 4:30PM. On occasion you may have to get to DOB early. You must be OK with that. Once you are done with DOB work you must be able to do spend time in office doing paperwork. A MUST",CLASS 2 DOB EXPEDITOR,https://newyork.craigslist.org/mnh/egr/6108356021.html,BASED ON EXPERIENCE,5 BOUROUGHS,full-time
"Interior Design and custom furniture manufacturer seeks entry level draftsperson for immediate start. 

IK Studios is a diverse company servicing the Architectural and Interior Design industry. Build your resume/portfolio with various commercial and residential projects.

Must be proficient in AutoCAD 
Proficiency in Rhino 3D is a plus 
$14-18 and hour based on experience 
Full time position 

Please respond with an attached resume and cover letter",Draftsperson - autoCAD,https://newyork.craigslist.org/que/egr/6108474679.html,$14-18 an hour,,full-time
"Introduction 
We are a world-class multi-disciplinary engineering consulting firm who is seeking a Plumbing/Fire Protection Engineer for our New York, NY office. 

Responsibilities 

Our engineers work on high quality, high-profile, national and international projects. We are currently looking for engineers who will be responsible for the systems design of commercial, institutional, healthcare, and laboratory projects.

Responsibilities include:
*Development of initial Pluming and Fire Protection system concepts
*Design of Plumbing and Fire Protection systems
*Calculation of preliminary water, gas, sanitary/sewer and storm loads for utility coordination
*Develop project specifications
*Survey and evaluation of existing conditions
*Construction administration
*Assist with Project Management
*Attend client meetings 

Requirements 
Bachelor's degree in Mechanical, Civil or Environmental Engineering preferred. 
5- 15+ years' experience designing plumbing and fire protection systems preferred. (Project experience submitted for consideration should include buildings on which you have actively participated in the project from the design phase through the final construction close-out.) 
Strong working knowledge of building, plumbing, and fire codes 
Excellent verbal and written communication skills 
Current PE and LEED AP licenses/registrations are preferred. 
Special consideration will be given to those candidates who have successfully demonstrated innovative design experience specifically related to renewable energies and sustainable, high performing buildings.

Our company offers salary commensurate with experience, a comprehensive benefits package which includes medical, dental, disability and life insurances, 401k plan, tuition reimbursement, and more.",Plumbing/Fire Protection Engineer,https://newyork.craigslist.org/mnh/egr/6108497716.html,"80,000.00 to 120,000.00",New York City,full-time
"Mechanical Engineer

We are a full-service Mechanical, Electrical and Plumbing Engineering Consulting firm with multiple locations throughout the United States. Our New York City office is seeking a Mechanical Engineer to work on a wide variety of commercial and high tech buildings. 

Responsibilities:

Designing HVAC systems, load calculations, scheduling and selecting equipment, specification writing & construction administration. 
Research, develop, and design mechanical systems and processes to meet client requirements while applying engineering principles.
Read and interpret blueprints, technical drawings, schematics and computer generated reports. 
Become a complementary member of our team as a whole, and on a project-by-project basis;
Produce work using computer aided design/drafting hardware and software.
Work on several projects at one time.
Field measure and document existing buildings
Produce and coordinate construction drawings with other disciplines.

Salary Range: 75,000.00  to 115,000.00 
Bonus plan, Full Benefits & Vacation Days.



Job Requirements

Requirements:

Bachelor's Degree in Mechanical Engineering.
Minimum of 4+years of HVAC design, preferred emphasis in commercial and high tech buildings.
Strong communication, report writing, organization, analytical and interpersonal skills;
Working knowledge of the design standards and codes for NYC building design;
A high level of technical and organizational skill accompanied by strong oral and written communication;
Working knowledge of design software (AutoCAD MEP, Trane Trace), Revit MEP preferred;
Working knowledge of standard computer software, such as Excel and Word.",Mechanical Engineer,https://newyork.craigslist.org/mnh/egr/6108499987.html,"75,000.00 to 115,000.00",Manhattan,full-time
"ACS Systems Associates is an HVAC /Mechanical Construction Company that engages in both government and private project work throughout the Greater New York area including Westchester, New York City and Long Island. We are located in Mount Vernon NY, mere minutes from NYC. We are seeking experienced Construction Project Manager & Super responsible for planning construction projects while overseeing the progress of the project and all of its trades. Salary ranges from 75K to 95K.

Key Duties & Responsibilities:

• Must develop a deliverables schedule to provide a road map that the construction team must stick to in order to finish the job in a timely and cost-effective manner.

• Must obtain the necessary equipment and supplies

• Implement a method for tracking inventory

• Set specific project goals after the contract with the client is signed.

• The PM reviews the contractual conditions of performance - requirements and deliverables - to determine precisely the work that must be accomplished in order to satisfy the contract.

Position Requirements:

• Ensure all billing is current to date

• Responsible for the projects timeline and must stay on budget.

• Ensure all required paperwork, including the Certified Payroll as required, is prepared correctly and maintained in order and orderly fashion

Ability Requirements:

• Ability to work independently and ensure all projects are managed efficiently, with minimal oversight, coupled with the ability to ensure no project becomes an emergency

• Construct a clear plan for work crew will do, including prep work that must be completed before the projects starts.

• Work with companies internal sales department to determine cost estimate

Required Skills & Experience:

• Knowledge of HVAC

• Completion of 10 Hour OSHA course",Project Manager,https://newyork.craigslist.org/brx/egr/6108696948.html,75 to 95K,,full-time
"ACS Systems Associates is an HVAC /Mechanical Construction Company that engages in both government and private project work throughout the Greater New York area including Westchester, New York City and Long Island. We are located in Mount Vernon NY, mere minutes from NYC. We are seeking experienced Construction Project Manager & Super responsible for planning construction projects while overseeing the progress of the project and all of its trades. Salary ranges from 75K to 95K.

Key Duties & Responsibilities:

• Must develop a deliverables schedule to provide a road map that the construction team must stick to in order to finish the job in a timely and cost-effective manner.

• Must obtain the necessary equipment and supplies

• Implement a method for tracking inventory

• Set specific project goals after the contract with the client is signed.

• The PM reviews the contractual conditions of performance - requirements and deliverables - to determine precisely the work that must be accomplished in order to satisfy the contract.

Position Requirements:

• Ensure all billing is current to date

• Responsible for the projects timeline and must stay on budget.

• Ensure all required paperwork, including the Certified Payroll as required, is prepared correctly and maintained in order and orderly fashion

Ability Requirements:

• Ability to work independently and ensure all projects are managed efficiently, with minimal oversight, coupled with the ability to ensure no project becomes an emergency

• Construct a clear plan for work crew will do, including prep work that must be completed before the projects starts.

• Work with companies internal sales department to determine cost estimate

Required Skills & Experience:

• Knowledge of HVAC

• Completion of 10 Hour OSHA course",Project Manager,https://newyork.craigslist.org/wch/egr/6108702394.html,75 to 95K,,full-time
"Draftsman/Estimator 
Established NYC based Construction firm seeks self-motivated energetic individual with minimum 10 years' experience to join our team.  

Duties Include: Architectural CAD drawings and stone shop drawings and details. Prepare detailed quantity take-offs, bids and estimates. Analyze architectural drawings and details. Field measuring and coordination.

Candidate must have thorough knowledge of computer programs especially Excel, Word, Planswift and MS Project and possess strong analytical and communication skills with an eye for detail.

BA/BS in architecture or engineering preferred.  Drawing, sketching and Auto CAD proficiency a plus.

Competitive salary and benefits package.",CAD Draftsman/Estimator,https://newyork.craigslist.org/que/egr/6108731376.html,Competitive salary,NYC,full-time
